[106, 39]
[107, 40]
[108, 41]
[109, 42]
[110, 43]
[111, 44]
[111, 43]
[112, 44]
[113, 45]
[114, 46]
[115, 45]
[116, 46]
[117, 46]
[118, 46]
[119, 46]
[120, 46]
[121, 46]
[122, 46]
[123, 46]
[124, 46]
[125, 46]
[126, 46]
[127, 46]
[128, 46]
[129, 46]
[130, 47]
[131, 47]
[132, 47]
[133, 47]
[134, 47]
[135, 47]
[136, 47]
[137, 47]
[138, 47]
[139, 48]
[140, 48]
[141, 47]
[142, 47]
[143, 47]
[144, 47]
[145, 47]
[146, 47]
[147, 47]
[148, 47]
[149, 47]
[149, 46]
[149, 47]
[149, 46]
[149, 45]
[149, 44]
[149, 43]
[149, 42]
[149, 41]
[149, 40]
[149, 39]
[149, 38]
[149, 37]
[149, 36]
[149, 35]
[149, 34]
[149, 33]
[149, 32]
[149, 31]
[149, 30]
[149, 29]
[149, 28]
[149, 27]
[149, 26]
[149, 25]
[149, 24]
[149, 23]
[149, 22]
[149, 21]
[149, 20]
[149, 19]
[149, 18]
[149, 17]
[149, 16]
[149, 15]
[149, 14]
[149, 13]
[149, 12]
[149, 11]
[149, 10]
[149, 9]
[149, 8]
[149, 7]
[149, 6]
[149, 5]
[149, 4]
[149, 3]
[149, 2]
[149, 3]
[149, 4]
[149, 5]
[149, 6]
[149, 7]
[149, 8]
[149, 9]
[149, 10]
[149, 11]
[149, 12]
[149, 13]
[149, 14]
[149, 15]
[149, 16]
[149, 17]
[149, 18]
[149, 19]
[149, 20]
[149, 21]
[149, 22]
[149, 23]
[149, 24]
[149, 25]
[149, 26]
[149, 27]
[149, 28]
[149, 29]
[149, 30]
[149, 31]
[149, 32]
[149, 33]
[149, 34]
[149, 35]
[149, 36]
[149, 37]
[149, 38]
[149, 39]
[149, 40]
[149, 41]
[149, 42]
[149, 43]
[149, 44]
[149, 45]
[149, 46]
[149, 47]
[149, 48]
[149, 49]
[149, 50]
[149, 51]
[149, 52]
[149, 53]
[149, 54]
[149, 55]
[149, 56]
[149, 57]
[149, 58]
[149, 59]
[149, 60]
[149, 61]
[149, 62]
[149, 63]
