[67, 47]
[68, 47]
[69, 47]
[70, 47]
[71, 47]
[72, 47]
[73, 47]
[74, 47]
[75, 47]
[76, 47]
[77, 47]
[78, 47]
[79, 47]
[80, 47]
[81, 47]
[82, 47]
[83, 47]
[84, 47]
[85, 47]
[86, 47]
[87, 47]
[88, 47]
[89, 47]
[90, 47]
[91, 47]
[92, 47]
[93, 47]
[94, 47]
[95, 47]
[96, 47]
[97, 47]
[98, 47]
[99, 47]
[100, 47]
[101, 47]
[102, 47]
[103, 47]
[104, 47]
[105, 47]
[106, 47]
[107, 47]
[108, 47]
[109, 47]
[110, 47]
[111, 47]
[112, 47]
[113, 47]
[114, 47]
[115, 47]
[114, 46]
[115, 46]
[116, 46]
[117, 46]
[117, 47]
[118, 47]
[119, 47]
[120, 47]
[121, 47]
[122, 47]
[123, 47]
[124, 47]
[125, 47]
[126, 47]
[127, 47]
[128, 47]
[129, 47]
[130, 47]
[131, 47]
[132, 47]
[133, 47]
[134, 47]
[135, 47]
[135, 48]
[135, 49]
[135, 50]
[135, 51]
[135, 52]
[135, 53]
[135, 54]
[135, 55]
[135, 56]
[135, 57]
[135, 58]
[135, 59]
[135, 60]
[134, 60]
[135, 60]
[135, 61]
[135, 62]
[135, 63]
[136, 63]
[136, 64]
[136, 65]
[136, 66]
[136, 67]
[136, 68]
[136, 69]
[136, 70]
[136, 71]
[136, 72]
[136, 73]
[136, 74]
[136, 75]
[136, 76]
[136, 75]
[136, 76]
[136, 77]
[136, 78]
[136, 79]
[136, 80]
[136, 81]
[136, 82]
[136, 83]
[136, 84]
[136, 85]
[136, 86]
[136, 87]
[136, 88]
[136, 89]
[136, 90]
[136, 91]
[136, 92]
[136, 93]
[136, 94]
[136, 95]
[136, 96]
[136, 97]
[136, 98]
[136, 97]
[136, 98]
[136, 99]
[136, 100]
[136, 101]
[136, 102]
[136, 103]
[136, 104]
[136, 105]
[136, 106]
[136, 107]
[136, 108]
[136, 109]
[136, 110]
[136, 111]
[135, 111]
